Audit Redundansi Data - SIAKAD;;;
Fokus: identifikasi data yang redundan, mana yang perlu disatukan, dan best practice pemisahan data landing page/dashboard dari data operasional akademik.;;;
3;;;
Temuan High;;;
2;;;
Temuan Medium;;;
1;;;
Temuan Low;;;
4;;;
Area Sudah Baik;;;
;;;
Temuan Prioritas;;;
Prioritas;Area;Masalah;Rekomendasi
High;school_settings vs school_profiles;Identitas sekolah inti tersimpan di 2 tabel (potensi drift).;Satukan source of truth identitas inti, sisakan tabel lain untuk config operasional.
High;users vs teachers/students;Field identitas overlap (name/email) tanpa guard sinkronisasi ketat.;Tetapkan owner field (single source) + observer/service sinkronisasi terpusat.
High;grades & attendances;Belum ada unique constraint komposit untuk mencegah duplikasi race/import.;Tambahkan unique index bisnis sesuai konteks (assessment-student, assignment-student-date).
Medium;teaching_assignments.subject_type;"Menduplikasi subjects.type; bisa drift jika override tidak terkontrol.";Pertahankan override hanya bila perlu, tambahkan metadata source/override.
Medium;bk_questionnaires vs targets;academic_period_id ada di parent dan child.;Inherit dari parent atau enforce konsistensi parent-child.
Low;SchoolProfile relation aliases;Relasi ganda beda nama ke resource sama (kebingungan developer).;Standarkan satu nama relasi.
;;;
Bagian Yang Sudah Tepat Dipisah;;;
Area;Status;Alasan;
final_grades dari grades;Pertahankan;Projection/snapshot untuk rapor final dan lock nilai.;
attendance_summaries dari attendances;Pertahankan;Agregasi baca cepat untuk rekap dan dashboard.;
Konten CMS sekolah vs transaksi akademik;Pertahankan;Boundary domain berbeda (publikasi vs operasional).;
Relasi akademik inti;Pertahankan;Struktur normal sudah memadai untuk proses kurikulum.;
;;;
Best Practice Pemisahan Dashboard/Landing;;;
Gunakan source of truth tunggal untuk data operasional inti.;;;
Buat projection table untuk kebutuhan baca cepat (rebuildable, indexed, auditable).;;;
Terapkan cache + invalidation saat write untuk data global (profil sekolah, statistik ringkas).;;;
Hindari dual-write identitas sekolah di dua tabel tanpa kontrak sinkronisasi.;;;
Tambahkan jejak projection: computed_at, source_version, dan prosedur rebuild.;;;
Prioritas Eksekusi Disarankan;;;
1) Konsolidasi identitas sekolah menjadi single source of truth.;;;
2) Tambahkan unique constraints pada data raw nilai dan absensi.;;;
3) Standarisasi pemisahan: operasional (OLTP) vs projection dashboard (read model).;;;
